ID,package,version,description,PoCGen,PoCGen_GLM,PoCGen_CodeQL_Result_Num,CodeQL_vanilla,Dynamic Source Export,Source Agent,Sink Agent,CallEdge Agent,CodeQL_Enhanced,Lines of code
GHSA-22h7-7wwg-qmgg,@hapi/hoek,8.5.0,Prototype Pollution in @hapi/hoek,,(api-error),no sarif,9,no export api,,,,,1130
GHSA-23wx-cgxq-vpwx,dset,3.1.1,Prototype Pollution in dset,,(api-error),no sarif,8,1,,,,,72
GHSA-28mc-g557-92m7,@75lb/deep-merge,1.1.1,@75lb/deep-merge Prototype Pollution vulnerability,,(api-error),0,0,2,,,,,493
GHSA-2g4c-8fpm-c46v,web3-utils,4.2.0,web3-utils Prototype Pollution vulnerability,,y,3,28,no export api,,,,,158684
GHSA-2ghc-6v89-pw9j,body-parser-xml,2.0.2,body-parser-xml vulnerable to Prototype Pollution,,(api-error),no sarif,0,1,,,,,5898
GHSA-2m53-83f3-562j,min-dash,3.8.0,Prototype pollution in min-dash,,(api-error),no sarif,7,41,,,,,1532
GHSA-2m96-9w4j-wgv7,lodash.merge,4.6.0,Prototype Pollution in lodash.merge,,(api-error),no sarif,0,1,,,,,875
GHSA-2w3f-9w3q-qw77,config-handler,2.0.3,Prototype Pollution in config-handler,,,no sarif,3,1,,,,,676
GHSA-2x9c-qwgf-94xr,matrix-react-sdk,3.52.0,matrix-react-sdk Prototype pollution vulnerability,,,0,no sarif,0,,,,,1286903
GHSA-328p-362g-r48j,@ag-grid-enterprise/charts,32.0.0,ag-grid packages vulnerable to Prototype Pollution,,,0,no sarif,1731,,,,,85731
GHSA-33vh-7x8q-mg35,safe-eval,0.4.1,safe-eval vulnerable to Prototype Pollution,,y,1,0,1,,,,,87
GHSA-34q8-jcq6-mc37,uplot,1.6.30,uPlot Prototype Pollution vulnerability,,y,2,316,26,,,,,13383
GHSA-36c4-4r89-6whg,@commercial/subtext,5.1.1,Prototype Pollution in @commercial/subtext,,(api-error),no sarif,39,1,,,,,2681
GHSA-3829-mgmw-jcg4,deep.assign,0.0.0-alpha.0,Prototype Pollution in deep.assign,,(api-error),no sarif,6,2,,,,,113
GHSA-39qv-prmh-x37f,@strikeentco/set,1.0.1,Prototype Pollution in @strikeentco/set,,(api-error),no sarif,2,1,,,,,31
GHSA-3hvj-2783-34x2,njwt,2.0.0,njwt Prototype Pollution vulnerability,,,15,15,33,,,,,11762
GHSA-3q56-9cc2-46j4,fast-loops,1.1.3,robinweser fast-loops vulnerable to prototype pollution,,y,2,6,11,,,,,2669
GHSA-3x3f-jcp3-g22j,@backstage/plugin-catalog-backend,1.25.2,@backstage/plugin-catalog-backend Prototype Pollution vulnerability,,,0,no sarif,135,,,,,1409231
GHSA-3xgx-r9j4-qw9w,dexie,3.0.4,Prototype Pollution in Dexie,,(api-error),no sarif,284,232,,,,,9249
ghsa-462x-c3jw-7vr6,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-46fh-8fc5-xcwx,lodash.defaultsdeep,4.6.0,Prototype Pollution in lodash.defaultsdeep,,(api-error),no sarif,0,1,,,,,887
GHSA-47pj-q2vm-46xc,collection.js,6.7.11,Collection.js vulnerable to Prototype Pollution,,,26,88,36,,,,,19756
GHSA-49j4-86m8-q2jw,mysql2,3.9.3,mysql2 vulnerable to Prototype Poisoning,,,15,33,180,,,,,23965
GHSA-4cpg-3vgw-4877,plist,3.0.4,Prototype pollution in Plist before 3.0.5 can cause denial of service,,(api-error),no sarif,18,2,,,,,17257
GHSA-4g77-cvgw-grvw,putil-merge,3.7.0,Prototype Pollution in putil-merge,,(api-error),no sarif,7,3,,,,,94
GHSA-4g88-fppr-53pp,set-value,2.0.0,Prototype Pollution in set-value,,(api-error),no sarif,4,1,,,,,275
GHSA-4gxf-g5gf-22h4,dottie,2.0.3,dottie vulnerable to Prototype Pollution,,y,3,6,9,,,,,170
GHSA-4jrm-c32x-w4jf,convict,6.2.3,convict vulnerable to Prototype Pollution,,y,2,22,4,,,,,2347
GHSA-4m8h-h59m-m34j,bmoor,0.10.0,Prototype Pollution in bmoor,,(api-error),no sarif,24,95,,,,,4119
GHSA-4r6h-8v6p-xvw6,xlsx,0.18.5,Prototype Pollution in sheetJS,,y,91,no sarif,177,,,,,76484
GHSA-4r97-78gf-q24v,klona,1.1.0,Duplicate Advisory: Prototype Pollution in klona,,(api-error),no sarif,0,1,,,,,61
GHSA-4xcx-cwrq-w792,openmct,3.0.2,Prototype Pollution in NASA Open MCT,,,19,0,0,,,,,39499
ghsa-5888-ffcr-r425,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-5947-m4fg-xhqg,lodash.mergewith,4.6.0,Prototype Pollution in lodash.mergewith,,(api-error),no sarif,0,1,,,,,875
GHSA-5f97-h2c2-826q,@apidevtools/json-schema-ref-parser,11.1.0,json-schema-ref-parser Prototype Pollution issue,,y,5,32,26,,,,,28525
GHSA-5p42-m6f3-hpmj,tree-kit,0.7.4,tree-kit Prototype Pollution vulnerability,,y(api-error),5,66,34,,,,,4406
GHSA-5pm8-492c-92p5,chartkick,3.2.1,Prototype Pollution in chartkick,,,0,18,50,,,,,4048
GHSA-5rrq-pxf6-6jx5,node-forge,0.10.0,Prototype Pollution in node-forge debug API.,,(api-error),no sarif,124,no export api,,,,,17929
GHSA-5xjx-4xcm-hpcm,ts-nodash,1.2.6,Prototype Pollution in ts-nodash,,(api-error),no sarif,no sarif,no export api,,,,,no loc
GHSA-624g-8qjg-8qxf,@conform-to/dom,1.1.0,Conform contains a Prototype Pollution Vulnerability in `parseWith...` function,,,44,46,7,,,,,2520
GHSA-6339-gv7w-g5f4,@sap/hana-client,2.21.28,SAP HANA Node.js client package vulnerable to Prototype Pollution,,,3,0,0,,,,,1689
GHSA-653v-rqx9-j85p,deep-object-diff,1.1.8,deep-object-diff vulnerable to Prototype Pollution,,,2,4,5,,,,,447
GHSA-65rp-mhqf-8gj3,rangy,1.3.1,rangy vulnerable to Prototype Pollution,,,no sarif,2,27,,,,,6187
GHSA-67mq-h2r9-rh2m,multi-ini,2.1.1,Prototype pollution in multi-ini,,(api-error),no sarif,84,39,,,,,28567
GHSA-6956-83fg-5wc5,set-in,2.0.1,Prototype Pollution in set-in,,(api-error),no sarif,1,1,,,,,193
GHSA-69r2-2fg7-7hf9,@abw/badger-database,1.2.1,Badger Database Prototype Pollution,,,1,16,0,,,,,1335
GHSA-6fh5-8wq8-w3wr,unflatten,1.0.4,Prototype Pollution in unflatten,,(api-error),no sarif,2,1,,,,,46339
GHSA-6g43-88cp-w5gv,matrix-react-sdk,3.68.0,Prototype pollution in matrix-react-sdk,,,no sarif,no sarif,0,,,,,1011928
GHSA-6g8v-hpgw-h2v7,gsap,3.5.1,Prototype pollution in gsap,,,no sarif,336,no export api,,,,,33113
GHSA-6xrf-q977-5vgc,json-pointer,0.6.1,json-pointer vulnerable to Prototype Pollution,,,3,5,11,,,,,667
GHSA-6xwr-q98w-rvg7,nconf,0.11.3,Prototype Pollution in nconf,,(api-error),no sarif,12,54,,,,,11184
GHSA-72xf-g2v4-qvf3,tough-cookie,4.1.2,tough-cookie Prototype Pollution vulnerability,,y,1,27,68,,,,,22991
GHSA-74cr-77xc-8g6r,@apollo/gateway,0.6.1,Prototype Pollution in @apollo/gateway,,(api-error),no sarif,177,19,,,,,262105
GHSA-765h-qjxv-5f44,handlebars,4.7.6,Prototype Pollution in handlebars,,(api-error),no sarif,56,200,,,,,60118
GHSA-76p3-8jx3-jpfq,loader-utils,2.0.2,Prototype pollution in webpack loader-utils,,,2,5,10,,,,,9002
GHSA-776f-qx25-q3cc,xml2js,0.4.23,xml2js is vulnerable to prototype pollution,,(api-error),15,0,no export api,,,,,5743
GHSA-779f-wgxg-qr8f,lodash.mergewith,4.6.1,Prototype Pollution in lodash.mergewith,,(api-error),no sarif,0,2,,,,,782
GHSA-78p3-fwcq-62c2,@saltcorn/server,1.0.0-beta.13,@saltcorn/server Remote Code Execution (RCE) / SQL injection via prototype pollution by manipulating `lang` and `defstring` parameters when setting localizer strings,,,0,no sarif,0,,,,,1791588
GHSA-79h2-v6hh-wq23,@ndhoule/defaults,2.0.1,@ndhoule/defaults prototype pollution,,y,1,1,2,,,,,430
GHSA-79xf-67r4-q2jj,safe-eval,0.4.1,safe-eval vulnerable to Sandbox Bypass due to improper input sanitization,,y,1,0,1,,,,,87
GHSA-7h43-gx24-p529,json8,1.0.2,Prototype pollution in json8,,(api-error),no sarif,2,42,,,,,585
GHSA-7pvx-4585-hqww,sequelize-typescript,2.1.5,sequelize-typescript Prototype Pollution vulnerability,,,2,no sarif,516,,,,,196640
GHSA-7px2-3c2p-q4v4,flatnest,1.0.0,flatnest Prototype Pollution vulnerability,,,2,3,3,,,,,102
GHSA-7qgg-vw88-cc99,utils-extend,1.0.8,utils-extend Prototype Pollution,,y(api-error),3,3,77,,,,,231
GHSA-7qqq-gh2f-wq76,ts-deepmerge,2.0.1,ts-deepmerge before 2.0.2 vulnerable to Prototype Pollution,,,1,1,2,,,,,99
GHSA-7w8j-85wm-6xfq,jquery-bbq,1.0.0,Prototype Pollution in jquery-bbq,,(api-error),no sarif,276,0,,,,,38870
GHSA-82jv-9wjw-pqh6,derby,2.3.1,Prototype pollution in emit function,,,55,229,45,,,,,89259
GHSA-84p7-fh9c-6g8h,mixme,0.5.1,Prototype Pollution in mixme,,(api-error),no sarif,2,7,,,,,433
GHSA-866w-wm4h-95c6,browserify-shim,3.8.15,thlorenz browserify-shim vulnerable to prototype pollution,,,1,0,25,,,,,168965
GHSA-876p-c77m-x2hc,ag-grid-enterprise,31.3.2,Prototype pollution in ag-grid-community via the _.mergeDeep function,,,0,no sarif,6444,,,,,47440
GHSA-87qp-7cw8-8q9c,web3-utils,4.2.0,Duplicate Advisory: web3-utils Prototype Pollution vulnerability,,y,3,28,no export api,,,,,158684
GHSA-88vr-hjqx-57qh,@adolph_dudu/ratio-swiper,0.0.2,adolph_dudu ratio-swiper was discovered to contain a prototype pollution via the function extendDefaults,,,0,14,210,,,,,42313
GHSA-89fp-f5mx-748x,vxe-table,3.19.7,vxe-table prototype pollution,,,0,464,1545,,,,,641470
GHSA-89mq-4x47-5v83,angular,1.7.8,Prototype Pollution in angular,,(api-error),no sarif,0,0,,,,,2
GHSA-89qm-hm2x-mxm3,progressbar.js,1.1.0,progressbar.js vulnerable to Prototype Pollution,,y,2,9,55,,,,,5420
GHSA-8f89-2fwj-5v5r,klona,1.1.0,Improper Input Validation in klona,,,no sarif,0,1,,,,,61
GHSA-8f8g-9j73-7p82,steal,2.3.0,steal vulnerable to Prototype Pollution via optionName variable,,,no sarif,27,no export api,,,,,102312
ghsa-8g4m-cjm2-96wq,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-8gh8-hqwg-xf34,fast-json-patch,3.1.0,Starcounter-Jack JSON-Patch Prototype Pollution vulnerability,,y,10,13,15,,,,,2336
GHSA-8mmm-9v2q-x3f9,gh-pages,4.0.0,tschaub gh-pages vulnerable to prototype pollution,,,11,54,3,,,,,41957
GHSA-8ppr-www8-hfjx,@thi.ng/paths,5.1.62,@thi.ng/paths Prototype Pollution vulnerability,,y,4,16,31,,,,,2545
GHSA-8qpm-5c82-rf96,backbone-query-parameters,0.4.0,Prototype Pollution in backbone-query-parameters,,(api-error),no sarif,18,0,,,,,32719
GHSA-8v3j-jfg3-v3fv,sails,1.5.2,Prototype Pollution in Sails.js,,(api-error),no sarif,393,216,,,,,202061
GHSA-8v63-cqqc-6r2c,object-path,0.11.7,Prototype Pollution in object-path,,(api-error),no sarif,6,31,,,,,1116
GHSA-8vr4-h4rr-8ph6,@bit/loader,10.0.3,MiguelCastillo @bit/loader Prototype Pollution issue,,,1,0,no export api,,,,,6615
GHSA-93q5-3xpc-8vg3,steal,2.3.0,steal vulnerable to Prototype Pollution via requestedVersion variable,,(api-error),no sarif,27,no export api,,,,,102312
GHSA-93vw-8fm5-p2jf,parse-server,4.10.19,Parse Server is vulnerable to Prototype Pollution via Cloud Code Webhooks,,,no sarif,no sarif,0,,,,,1014358
GHSA-97jv-c342-5xhc,whois,2.13.5,FurqanSoftware/node-whois vulnerable to Prototype Pollution,,y,1,8,1,,,,,21899
GHSA-992f-wf4w-x36v,merge-objects,1.0.5,Prototype Pollution in merge-objects,,(api-error),no sarif,3,1,,,,,55
GHSA-9c47-m6qq-7p4h,json5,2.2.1,Prototype Pollution in JSON5 via Parse Method,,,4,4,2,,,,,4307
GHSA-9fp7-4fjm-q3mf,keyget,2.4.0,Prototype Pollution in keyget,,(api-error),no sarif,4,10,,,,,202
GHSA-9g9w-hmvj-5h57,merge-deep,3.0.0,Prototype Pollution in merge-deep,,y,3,3,1,,,,,379
ghsa-9gxr-rhx6-4jgv,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-9m93-w8w6-76hh,mongoose,7.3.2,Mongoose Prototype Pollution vulnerability,,,no sarif,no sarif,no export api,,,,,119633
GHSA-9pgh-qqpf-7wqj,xmldom,0.6.0,Withdrawn: Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution') in @xmldom/xmldom and xmldom,,,4,18,no export api,,,,,2257
GHSA-9qmh-276g-x5pj,immer,8.0.0,Prototype Pollution in immer,,,no sarif,47,19,,,,,5128
GHSA-9qrg-h9g8-c65q,deep-setter,1.0.2,Prototype Pollution in deep-setter,,(api-error),no sarif,0,1,,,,,66
GHSA-9w5f-mw3p-pj47,@clickbar/dot-diver,1.0.1,Prototype Pollution(PP) vulnerability in setByPath,,,1,1,0,,,,,62
GHSA-9wcg-jrwf-8gg7,express-fileupload,1.1.8,Prototype Pollution in express-fileupload,,(api-error),no sarif,18,2,,,,,6932
GHSA-c36v-fmgq-m8hx,immer,9.0.5,Prototype Pollution in immer,,(api-error),no sarif,49,20,,,,,5323
GHSA-c429-5p7v-vgjp,@hapi/hoek,8.5.0,hoek subject to prototype pollution via the clone function.,,(api-error),1,9,no export api,,,,,1130
GHSA-c6rp-wrp9-qr4q,dustjs-linkedin,2.7.5,dustjs-linkedin vulnerable to Prototype Pollution,,,3,50,91,,,,,36842
GHSA-cfgr-75jx-h88g,browserify-shim,3.8.15,thlorenz browserify-shim vulnerable to prototype pollution,,,1,0,25,,,,,168965
GHSA-ch82-gqh6-9xj9,get-setter,0.0.0,Prototype Pollution in get-setter,,(api-error),no sarif,2,2,,,,,66
GHSA-f5c9-x9j6-87qp,dotty,0.1.0,Prototype pollution in dotty,,,no sarif,3,7,,,,,725
GHSA-f6v4-cf5j-vf3w,dset,3.1.3,dset Prototype Pollution vulnerability,,,4,8,1,,,,,92
GHSA-f737-3fh6-jf6w,vconsole,3.15.0,Prototype Pollution in vConsole,,,36,0,0,,,,,37082
GHSA-f825-f98c-gj3g,mongoose,6.4.5,automattic/mongoose vulnerable to Prototype pollution via Schema.path,,,no sarif,no sarif,502,,,,,139693
GHSA-f9cm-qmx5-m98h,merge,1.2.0,Prototype Pollution in merge,,(api-error),no sarif,2,3,,,,,64
ghsa-ff9j-pwxg-q5p2,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-fg4m-w35q-vfg2,@zag-js/core,0.82.1,@zag-js/core prototype pollution,,y(api-error),2,10,25,,,,,3973
GHSA-fg52-5jjj-28h7,@cdr0/sg,1.0.10,@cdr0/sg Prototype Pollution,,,10,27,389,,,,,12254
GHSA-fhv8-fx5f-7fxf,zrender,5.2.0,Prototype Pollution in the merge and clone helper methods,,(api-error),no sarif,988,0,,,,,62129
GHSA-fm93-fhh2-cg2c,min-dash,3.8.0,Duplicate Advisory: Prototype Pollution in min-dash,,(api-error),no sarif,7,41,,,,,1532
GHSA-fqg8-vfv7-8fj8,jsonata,1.8.6,"JSONata expression can pollute the ""Object"" prototype",,,120,41,2,,,,,14078
GHSA-fvqr-27wr-82fm,lodash,4.17.4,Prototype Pollution in lodash,,(api-error),no sarif,461,no export api,,,,,26434
GHSA-fw45-938v-p26j,mootools-more,1.5.2,mootools-more vulnerable to prototype pollution,,(api-error),no sarif,0,0,,,,,2795
GHSA-fwr7-v2mv-hh25,async,3.2.1,Prototype Pollution in async,,(api-error),no sarif,32,no export api,,,,,7157
GHSA-fxwf-45c7-4ppr,object-hierarchy-access,0.32.0,Prototype pollution in object-hierarchy-access,,(api-error),no sarif,33,22,,,,,5455
GHSA-g3q2-vcjq-rgrc,@blackprint/engine,0.9.1,Blackprint @blackprint/engine Prototype Pollution issue,,(api-error),2,94,no export api,,,,,722
GHSA-g3vf-47fv-8f3c,hellojs,1.18.6,MrSwitch hello.js vulnerable to prototype pollution,,(api-error),48,165,0,,,,,45672
GHSA-g452-6rfc-vrvx,open-graph,0.2.4,Prototype Pollution in open-graph,,(api-error),no sarif,0,3,,,,,74558
GHSA-g64q-3vg8-8f93,pez,2.2.2,Prototype Pollution in pez,,(api-error),no sarif,6,37,,,,,1771
GHSA-g954-5hwp-pp24,protobufjs,6.11.2,Prototype Pollution in protobufjs,,(api-error),no sarif,71,no export api,,,,,36951
GHSA-g974-hxvm-x689,node-gettext,3.0.0,node-gettext vulnerable to Prototype Pollution,,y,1,1,22,,,,,2809
GHSA-g9cg-h3jm-cwrc,@hapi/pez,4.1.2,Prototype Pollution in @hapi/subtext,,(api-error),no sarif,19,37,,,,,2129
GHSA-g9r4-xpmj-mj65,handlebars,3.0.7,Prototype Pollution in handlebars,,(api-error),no sarif,30,199,,,,,37769
GHSA-gc7m-596h-x57r,@airvertco/frappejs,0.0.11,frappejs was discovered to contain a prototype pollution via the function registerView,,,no sarif,no sarif,28,,,,,1049683
GHSA-gff7-g5r8-mg8m,simple-plist,1.3.0,Prototype Pollution in simple-plist,,(api-error),no sarif,20,13,,,,,32589
GHSA-gh4x-qv3p-m9pm,@akbr/patch-into,1.0.1,akbr patch-into was discovered to contain a prototype pollution via the function patchInto,,y,5,6,1,,,,,190
GHSA-gjm5-83cw-p3p2,extend2,1.0.0,Prototype Pollution in extend2,,(api-error),no sarif,2,1,,,,,46
GHSA-gmjw-49p4-pcfm,msgpack5,3.6.0,Prototype poisoning,,(api-error),no sarif,157,92,,,,,11533
GHSA-gmwp-3pwc-3j3g,mockery,2.1.0,mockery is vulnerable to prototype pollution,,,2,2,14,,,,,736
GHSA-gpvc-mx6g-cchv,underscore-keypath,0.9.3,underscore-keypath vulnerable to Prototype Pollution,,,1,20,326,,,,,11852
ghsa-gqgv-6jq5-jjj9,,,,,,no sarif,no sarif,no export api,,,,,no loc
GHSA-gvjw-8mmr-8f6g,steal,2.3.0,steal vulnerable to Prototype Pollution,,(api-error),no sarif,27,no export api,,,,,102312
GHSA-h466-j336-74wx,mpath,0.5.0,Prototype Pollution in mpath,,(api-error),no sarif,12,4,,,,,1861
GHSA-h5mp-5q4p-ggf5,lodash.defaultsdeep,4.6.0,Prototype Pollution in lodash.defaultsdeep,,(api-error),no sarif,0,1,,,,,887
